WFO,AN_TO,AN_ST,AN_TO_C,AN_ST_C,AN_TO_W,AN_ST_W
ABQ,17.25,296.8,2.4,20.95,14.85,275.85
ABR,22.4,262.2,1.55,2.6,20.85,259.6
AKQ,61.5,299.8,11.55,32.05,49.95,267.75
ALY,7.65,202.35,0.35,9.7,7.3,192.65
AMA,32.95,290.3,5.25,18.9,27.7,271.4
APX,4.15,66.4,0.5,4.35,3.65,62.05
ARX,17,131.65,0.85,6.6,16.15,125.05
BGM,15.6,284.75,0.75,13.45,14.85,271.3
BIS,38.4,278.2,0,2.6,38.4,275.6
BMX,97.6,352.4,54.55,101.9,43.05,250.5
BOI,0.6,42.6,0,2.4,0.6,40.2
BOU,56.4,271.15,0.55,1.6,55.85,269.55
BOX,8,179.05,0.85,9.7,7.15,169.35
BRO,12.3,67.05,1.45,8.7,10.85,58.35
BTV,2,77.9,0,2.55,2,75.35
BUF,4.25,107.15,0.35,6.45,3.9,100.7
BYZ,6.3,127.4,0,0.65,6.3,126.75
CAE,29.25,422.95,12,50.2,17.25,372.75
CAR,2.2,61,0,1.05,2.2,59.95
CHS,27,189.1,5.25,26.5,21.75,162.6
CLE,21.6,219.1,2.25,15.85,19.35,203.25
CRP,31.15,111.65,5,25.05,26.15,86.6
CTP,21.9,404.35,1.3,28.5,20.6,375.85
CYS,22.35,205.8,0.05,0.7,22.3,205.1
DDC,46.3,342.05,5.8,20.05,40.5,322
DLH,12.75,171.25,0.45,3.15,12.3,168.1
DMX,55.15,327.6,8.45,24.8,46.7,302.8
DTX,12.5,109.85,1.3,7.05,11.2,102.8
DVN,34.7,183,6.6,21.95,28.1,161.05
EAX,40.6,332.8,9.5,39.9,31.1,292.9
EKA,0,4.5,0,0.5,0,4
EPZ,2.85,124.5,1.2,19.25,1.65,105.25
EWX,31.45,246.8,11.15,56.65,20.3,190.15
FFC,73.55,773.3,34.9,172.6,38.65,600.7
FGF,46.85,219.05,0.2,2.65,46.65,216.4
FGZ,5.45,111.3,2.75,11.75,2.7,99.55
FSD,39.2,315.15,2.2,8.65,37,306.5
FWD,54.55,423.3,18.3,106.4,36.25,316.9
GGW,7.45,132.9,0,0.85,7.45,132.05
GID,38.75,345.85,1.85,19.45,36.9,326.4
GJT,0.45,31.55,0.15,3.1,0.3,28.45
GLD,54.2,361.25,2.95,10.85,51.25,350.4
GRB,10.25,97.8,0.5,4.3,9.75,93.5
GRR,9.5,112.85,1.65,8.25,7.85,104.6
GSP,31.15,430.2,11.2,37,19.95,393.2
GYX,5.3,190.75,0.05,4.65,5.25,186.1
HFO,0.2,3.8,0.2,3.75,0,0.05
HGX,65.6,270.3,21.5,71.15,44.1,199.15
HNX,2,19.25,1.4,7.8,0.6,11.45
HUN,46.25,222.5,19.8,66.55,26.45,155.95
ICT,33,310.45,3.65,27.2,29.35,283.25
ILM,21.35,109.3,4.25,12.05,17.1,97.25
ILN,34.35,282.35,9.1,39.1,25.25,243.25
ILX,48.1,214.4,11.1,32.3,37,182.1
IND,47.15,215.35,9.25,29.35,37.9,186
IWX,20.25,176.75,3.4,16.55,16.85,160.2
JAN,155,730.35,80.75,241.35,74.25,489
JAX,45.7,322.3,16.2,58.7,29.5,263.6
JKL,21.8,192.05,7.75,30.1,14.05,161.95
KEY,2.75,1.75,0.8,0.65,1.95,1.1
LBF,41.85,380.85,1.35,9.6,40.5,371.25
LCH,86.3,216.9,38.3,76.5,48,140.4
LIX,139.65,340.15,61.4,107.65,78.25,232.5
LKN,1.05,33.15,0,0.6,1.05,32.55
LMK,49.65,447.25,22.45,99.05,27.2,348.2
LOT,27.65,164.8,3.15,16.5,24.5,148.3
LOX,1.3,8.65,1.15,3.9,0.15,4.75
LSX,62.05,356.8,19.85,54.65,42.2,302.15
LUB,22.6,283.85,3.15,23.1,19.45,260.75
LWX,36.8,382.9,2.7,16.5,34.1,366.4
LZK,82.05,776.75,30.5,191.6,51.55,585.15
MAF,28.75,338.3,3.85,50.1,24.9,288.2
MEG,92.8,518.75,43.15,138.55,49.65,380.2
MFL,29.1,103.75,7.7,13.85,21.4,89.9
MFR,0.15,19.7,0,1.5,0.15,18.2
MHX,32.35,117.2,6.4,15.8,25.95,101.4
MKX,18.35,123.45,2,10.4,16.35,113.05
MLB,32.8,107.25,10.8,19.3,22,87.95
MOB,83.5,320.3,44.85,106,38.65,214.3
MPX,53.8,333.45,1.65,7.75,52.15,325.7
MQT,2.25,66.1,0.1,1.8,2.15,64.3
MRX,25.1,302.05,9.75,45.6,15.35,256.45
MSO,0.25,36.8,0,0.05,0.25,36.75
MTR,0.2,3.55,0.2,2.3,0,1.25
OAX,37.9,365.7,4.2,24.25,33.7,341.45
OHX,76.15,458.85,36.75,122.8,39.4,336.05
OKX,6.4,107,0.75,8.6,5.65,98.4
OTX,0.65,31,0.05,0.2,0.6,30.8
OUN,83.9,1115.2,16.3,157.25,67.6,957.95
PAH,99.2,453.9,43,101.6,56.2,352.3
PBZ,14.55,273.75,2.6,20.4,11.95,253.35
PDT,0.85,27.6,0,0.05,0.85,27.55
PHI,18.9,341.05,1.4,23.8,17.5,317.25
PIH,4.9,66.65,0.6,3.1,4.3,63.55
PQR,1.1,11.1,0.85,1.2,0.25,9.9
PSR,0.75,114.95,0.6,12.9,0.15,102.05
PUB,30.55,256.1,0.2,2.05,30.35,254.05
RAH,34.65,285.7,10.55,30.2,24.1,255.5
REV,0.5,31.45,0,0.15,0.5,31.3
RIW,6.4,69.6,0.1,0.25,6.3,69.35
RLX,8.1,217.05,1.25,21.8,6.85,195.25
RNK,22.55,285.25,4.45,17.9,18.1,267.35
SEW,0.9,4.15,0.9,0.55,0,3.6
SGF,65.65,395.15,23.8,81.15,41.85,314
SGX,1.35,19.75,0.85,3.75,0.5,16
SHV,99.45,644.05,51.3,194.55,48.15,449.5
SJT,43.75,349.15,10.3,59.75,33.45,289.4
SLC,0.35,78.85,0.05,4.8,0.3,74.05
STO,4.3,18.1,2.8,5.35,1.5,12.75
TAE,108.75,584.65,60.8,168.95,47.95,415.7
TBW,33.75,98.6,14.35,23.85,19.4,74.75
TFX,3.2,98.35,0,0.85,3.2,97.5
TOP,29.05,272.4,3.2,25.55,25.85,246.85
TSA,66.35,460.1,17.9,100.35,48.45,359.75
TWC,0.85,128.7,0.1,7.15,0.75,121.55
UNR,15.55,352.75,0.35,3.95,15.2,348.8
VEF,0.6,65.7,0.1,5.55,0.5,60.15
